,ID,UTTERANCE,RELATIONS,primary_relation,split
657,657,what genre is the movie pretty girl,movie.genre,movie.genre,train
1903,1903,show me recent movies from lionsgate,movie.production_companies movie.initial_release_date,movie.production_companies,train
239,239,show me the lion king's budget,movie.estimated_budget,movie.estimated_budget,train
1112,1112,movies will smith stars in,movie.starring.actor,movie.starring.actor,train
3220,3220,what new movies are coming up in france,movie.release release.date movie.initial_release_date release.region,movie.release,train
1957,1957,i want to view the page on in july,NO_REL,NO_REL,train
99,99,actors in star wars four,movie.starring.actor,movie.starring.actor,train
2051,2051,get me information about spielberg,NO_REL,NO_REL,train
2301,2301,how much revenue did the avengers take it,movie.gross_revenue,movie.gross_revenue,train
2869,2869,find biographies,movie_other,movie_other,train
3075,3075,why is this movie rated pg,movie_other,movie_other,train
2061,2061,search for steven spielberg,NO_REL,NO_REL,train
3134,3134,who is the actress who played lucy's best friend on i love lucy,movie.starring.actor movie.starring.character,movie.starring.actor,train
2576,2576,find all movies rated g in the last year,movie.rating movie.initial_release_date,movie.rating,train
513,513,who directed the movie called avatar,movie.directed_by,movie.directed_by,train
1873,1873,search for movies with a pg rating,movie.rating,movie.rating,train
735,735,i need movie information for life is beautiful,NO_REL,NO_REL,train
1204,1204,what movies are currently playing that are rated g,movie.rating,movie.rating,train
1499,1499,show movies done by 7 arts,movie.production_companies,movie.production_companies,train
899,899,find movies in italian,movie.language,movie.language,train
49,49,can you tell me more about the cast and crew of the movie apollo thirteen,movie.starring.actor,movie.starring.actor,train
1518,1518,search for movies produced by spike lee,movie.produced_by,movie.produced_by,train
253,253,how many movies were released on nine twenty eight twelve,movie.initial_release_date,movie.initial_release_date,train
307,307,lion king filmed at,movie.country,movie.country,train
2276,2276,rating for resident evil,movie.rating,movie.rating,train
1060,1060,footloose,NO_REL,NO_REL,train
2977,2977,goto greyscale,other,other,train
1131,1131,movies regarding the hobby of chess,movie.subjects,movie.subjects,train
897,897,what movies are in italian,movie.language,movie.language,train
93,93,who played nick fury in the avengers,movie.starring.actor movie.starring.character,movie.starring.actor,train
2216,2216,who produced godfather,movie.produced_by,movie.produced_by,train
3002,3002,jenn ann news feed twenty ten,other,other,train
829,829,show me english movies,movie.language,movie.language,train
2601,2601,what movies are filmed about asia,movie.subjects,movie.subjects,train
723,723,show me names of some romantic movies having a pg thirteen rating,movie.rating movie.genre,movie.rating,train
1070,1070,current movie options for today with patrick swayze,movie.starring.actor movie.initial_release_date,movie.starring.actor,train
31,31,rocky actor,movie.starring.actor,movie.starring.actor,train
2381,2381,i am interested in finding out the budget for cabin in the woods,movie.estimated_budget,movie.estimated_budget,train
744,744,display information for the movie life is beautiful,NO_REL,NO_REL,train
1978,1978,display actors in movies,NO_REL,NO_REL,train
1798,1798,i need information about the cast reviews story etc in detail about the movie house at the end of the street,NO_REL,NO_REL,train
3031,3031,show me the movie history,movie_other,movie_other,train
2028,2028,search for will ferrell,NO_REL,NO_REL,train
2803,2803,how much money did shrek bring in,movie.gross_revenue,movie.gross_revenue,train
2891,2891,i want to find more movies like life is beautiful,movie_other,movie_other,train
45,45,rocky 2 actor,movie.starring.actor,movie.starring.actor,train
959,959,give me a list of time travel movies,movie.subjects,movie.subjects,train
1928,1928,watch ron howard's latest movie,movie.directed_by movie.initial_release_date,movie.directed_by,train
2198,2198,in the movie ants who is the producer,movie.produced_by,movie.produced_by,train
267,267,how many movies has tom cruise starred in,movie.starring.actor,movie.starring.actor,train
668,668,what type of movie is ted considered to be,movie.genre,movie.genre,train
1927,1927,please search for movies about god,movie.subjects,movie.subjects,train
2259,2259,show me the film rating for avengers,movie.rating,movie.rating,train
2893,2893,like dirty dancing,movie_other,movie_other,train
581,581,who directed the movie cabin in the woods,movie.directed_by,movie.directed_by,train
2750,2750,end of watch gross,movie.gross_revenue,movie.gross_revenue,train
3014,3014,r rating means sex or nudity,movie_other,movie_other,train
2772,2772,how much money did hotel transylvania gross overall,movie.gross_revenue,movie.gross_revenue,train
2643,2643,titles of movies about libraries,movie.subjects,movie.subjects,train
177,177,what was the budget for black swan,movie.estimated_budget,movie.estimated_budget,train
783,783,tim burton movies,movie.directed_by,movie.directed_by,train
2661,2661,display movies on gardening,movie.subjects,movie.subjects,train
3043,3043,what age group is g rated movies for,movie_other,movie_other,train
3020,3020,should i let my kid see a pg thirteen movie alone,movie_other,movie_other,train
2441,2441,director of taking of the pelham 1 2 3,movie.directed_by,movie.directed_by,train
1386,1386,the camp out,NO_REL,NO_REL,train
2860,2860,show page for moview,movie_other,movie_other,train
1550,1550,brad pitt movie now,movie.starring.actor,movie.starring.actor,train
2770,2770,how much did hotel transylvania gross,movie.gross_revenue,movie.gross_revenue,train
3263,3263,search for images of will ferrell,person.picture,person.picture,train
2083,2083,who is hitchcock,NO_REL,NO_REL,train
28,28,who played robin in batman forever,movie.starring.actor movie.starring.character,movie.starring.actor,train
640,640,what kind of movie,movie.genre,movie.genre,train
2746,2746,how much revenue did bourne identity make,movie.gross_revenue,movie.gross_revenue,train
1659,1659,i want to see zombie movies that are scary,movie.genre movie.subjects,movie.genre,train
1883,1883,show me the movie now forager,NO_REL,NO_REL,train
2267,2267,what audience will watch black swan,movie.rating,movie.rating,train
3282,3282,show me the reviews for finding nemo,movie.review,movie.review,train
3077,3077,would you try to make a sequal,other,other,train
2139,2139,who is listed as producer of grease,movie.produced_by,movie.produced_by,train
2907,2907,what was robert wise favorite part of directing the sound of music,movie_other,movie_other,train
520,520,director of the incredibles,movie.directed_by,movie.directed_by,train
2299,2299,ticket sales for the movie avengers,movie.gross_revenue,movie.gross_revenue,train
2529,2529,i want you to pull up movies from nine fourteen,movie.initial_release_date,movie.initial_release_date,train
1881,1881,what's the latest on brad pitt,movie.starring.actor movie.initial_release_date,movie.starring.actor,train
2775,2775,revinue for I'll be home for christmas,movie.gross_revenue,movie.gross_revenue,train
2076,2076,i want to learn about charlie sheen,NO_REL,NO_REL,train
206,206,what did the movie avatar cost to make,movie.estimated_budget,movie.estimated_budget,train
884,884,display movies made in germany,movie.country,movie.country,train
284,284,can you tell me which country the movie kati patang comes from,movie.country,movie.country,train
448,448,i would like to know the release date of the movie barfi,movie.initial_release_date,movie.initial_release_date,train
2310,2310,dark knight revenue,movie.gross_revenue,movie.gross_revenue,train
2323,2323,how many minutes is star wars four,rt.runtime movie.runtime,rt.runtime,train
2807,2807,how much money did star wars earn at the box office,movie.gross_revenue,movie.gross_revenue,train
968,968,movies about time travel,movie.subjects,movie.subjects,train
519,519,the silence of the lambs director,movie.directed_by,movie.directed_by,train
2111,2111,production company for spiderman,movie.production_companies,movie.production_companies,train
1661,1661,zombies,movie.subjects,movie.subjects,train
1692,1692,find all details about star wars-a new hope movie,NO_REL,NO_REL,train
248,248,what was kevin james role in hitch,movie.starring.actor movie.starring.character,movie.starring.actor,train
2134,2134,who produced avatar,movie.produced_by,movie.produced_by,train
1019,1019,movie by dreamworks,movie.production_companies,movie.production_companies,train
1054,1054,i want to know about life is beautiful,NO_REL,NO_REL,train
1558,1558,list all brad pitt's movies,movie.starring.actor,movie.starring.actor,train
2269,2269,can i take my 13 year old to see american pie,movie.rating,movie.rating,train
2105,2105,what production company was responsible for the film the devil wears prada,movie.production_companies,movie.production_companies,train
1276,1276,spielberg movies,movie.directed_by,movie.directed_by,train
706,706,what language is the movie elling in,movie.language,movie.language,train
1014,1014,list french language comedy films,movie.language movie.genre,movie.language,train
1048,1048,russell crowe movies,movie.starring.actor,movie.starring.actor,train
2353,2353,find budget for epic,movie.estimated_budget,movie.estimated_budget,train
1196,1196,look up movies with a g rating,movie.rating,movie.rating,train
280,280,what country did the flowers of war come from,movie.country,movie.country,train
1888,1888,i would like to watch an alfred hitchcock movie,movie.directed_by,movie.directed_by,train
3217,3217,i would like to know about some famous movies by director martin scorsese,movie.directed_by movie.star_rating,movie.directed_by,train
2608,2608,find movies about church,movie.subjects,movie.subjects,train
414,414,when was avatar released,movie.initial_release_date,movie.initial_release_date,train
3040,3040,was twenty one point two million grossed in the first day or week,other,other,train
2491,2491,can you please make a list of all movies brad pitt directed,movie.directed_by,movie.directed_by,train
1862,1862,movies with pg rating,movie.rating,movie.rating,train
219,219,how much did it take to make the avengers,movie.estimated_budget,movie.estimated_budget,train
354,354,when will the great gatsby be out,movie.initial_release_date,movie.initial_release_date,train
1648,1648,show me movies about zombies,movie.subjects,movie.subjects,train
3316,3316,which theatre is this playing in,movie.showing,movie.showing,train
607,607,find the name of the director of chips,movie.directed_by,movie.directed_by,train
222,222,find out the budget of cujo,movie.estimated_budget,movie.estimated_budget,train
68,68,who are the main voices in finding nemo,movie.starring.actor,movie.starring.actor,train
2453,2453,what language is amelie in,movie.language,movie.language,train
3093,3093,search selected info,other,other,train
1399,1399,hope this movie is in english,movie.language,movie.language,train
2837,2837,show all italian movies made in twenty twelve,movie.country movie.language movie.initial_release_date,movie.country,train
270,270,how many movies did victor fleming direct,movie.directed_by,movie.directed_by,train
1488,1488,find danish movies,movie.country movie.language,movie.country,train
2666,2666,did tom hanks act in and produce apollo thirteen,movie.starring.actor movie.produced_by,movie.starring.actor,train
2176,2176,who produced the devil wears prada,movie.produced_by,movie.produced_by,train
138,138,cast and crew of go,movie.starring.actor,movie.starring.actor,train
2481,2481,show garden documentaries,movie.genre movie.subjects,movie.genre,train
1315,1315,i would like to view any movies made in france,movie.country,movie.country,train
2553,2553,display a list of 2012 movies in german,movie.language movie.initial_release_date,movie.language,train
704,704,tell me the language of ju on,movie.language,movie.language,train
656,656,what genre is pretty girl,movie.genre,movie.genre,train
2367,2367,how much was it to produce paranorman,movie.estimated_budget,movie.estimated_budget,train
1586,1586,r - rated,movie.rating,movie.rating,train
1009,1009,list of movies produced by searchlight films,movie.production_companies,movie.production_companies,train
2193,2193,what company produced sparkle,movie.production_companies,movie.production_companies,train
272,272,how many movies has darla anderson produced,movie.produced_by,movie.produced_by,train
1585,1585,movies with r rating,movie.rating,movie.rating,train
2439,2439,who directed the nineteen seventy seven star wars movie,movie.directed_by movie.initial_release_date,movie.directed_by,train
2266,2266,show movie ratings for us movie looper,movie.country movie.rating,movie.country,train
2916,2916,show me videos of steven spielberg on the red carpet with his wife,movie_other,movie_other,train
1767,1767,bring up all director movies,movie.directed_by,movie.directed_by,train
3006,3006,movie parental guidance rating scale,movie_other,movie_other,train
3294,3294,what are the reviews for in july,movie.review,movie.review,train
2456,2456,is the movie bastardos en el paraiso all in swedish,movie.language,movie.language,train
2590,2590,what movies did meryl streep make in 2010,movie.starring.actor movie.initial_release_date,movie.starring.actor,train
161,161,what is tom cruise's birthday,person.date_of_birth,person.date_of_birth,train
2624,2624,show me movies about france,movie.subjects,movie.subjects,train
1665,1665,i want to watch a german movie,movie.country movie.language,movie.country,train
2156,2156,who produced the godfather,movie.produced_by,movie.produced_by,train
149,149,find the name of the actor who played jack in the movie titanic,movie.starring.actor movie.starring.character,movie.starring.actor,train
2005,2005,find the director andrew stanton,NO_REL,NO_REL,train
3277,3277,critic reviews of dirty dancing,movie.review,movie.review,train
314,314,is this a foreign film,movie.country,movie.country,train
2719,2719,find the producer of a mom for christmas,movie.produced_by,movie.produced_by,train
1972,1972,will smith bio,NO_REL,NO_REL,train
294,294,look for what country cell 21 is from,movie.country,movie.country,train
379,379,what was the relase date for men in black,movie.initial_release_date,movie.initial_release_date,train
759,759,will ferrell movies,movie.starring.actor,movie.starring.actor,train
1360,1360,watch tom hanks,movie.starring.actor,movie.starring.actor,train
1187,1187,find movies only g,movie.rating,movie.rating,train
1789,1789,show me house at the end of the street,NO_REL,NO_REL,train
2587,2587,show me all movies hillary duff has been in,movie.starring.actor,movie.starring.actor,train
2824,2824,how much did lord of the rings make,movie.gross_revenue,movie.gross_revenue,train
788,788,show all details of original finding nemo movie,movie.initial_release_date,movie.initial_release_date,train
1548,1548,what movies and upcoming movies will christian bale star in,movie.starring.actor,movie.starring.actor,train
2652,2652,space movies,movie.subjects,movie.subjects,train
308,308,where was rocky four filmed,movie.country,movie.country,train
1673,1673,show me short films,movie.genre,movie.genre,train
2755,2755,look for revenue from freedom writers,movie.gross_revenue,movie.gross_revenue,train
1203,1203,what available movies are rated g,movie.rating,movie.rating,train
2218,2218,show producers who work for miramax,movie.production_companies movie.produced_by,movie.production_companies,train
2210,2210,person produced the blind side,movie.produced_by,movie.produced_by,train
1576,1576,please look up r rated movies,movie.rating,movie.rating,train
2303,2303,can you give me the revenue of the movie titanic,movie.gross_revenue,movie.gross_revenue,train
574,574,director of hum tum,movie.directed_by,movie.directed_by,train
1922,1922,what are recent films by will ferrell,movie.starring.actor movie.initial_release_date,movie.starring.actor,train
434,434,when was the amazing spiderman released in the movie theatres,movie.initial_release_date,movie.initial_release_date,train
2875,2875,find most popular actors,movie_other,movie_other,train
1951,1951,see ed harris last movie,movie.starring.actor movie.initial_release_date,movie.starring.actor,train
2243,2243,what age is appropriate to watch marley and me,movie.rating,movie.rating,train
21,21,what's the cast for life is beautiful,movie.starring.actor,movie.starring.actor,train
747,747,look up movies about dancing,movie.subjects,movie.subjects,train
802,802,show sergio leone's movies,movie.directed_by,movie.directed_by,train
1201,1201,show me g rated movies,movie.rating,movie.rating,train
2136,2136,who produced avatar,movie.produced_by,movie.produced_by,train
65,65,find cast and crew for the movie finding nemo,movie.starring.actor,movie.starring.actor,train
3046,3046,what are the company logos you see at the beginning of a movie,movie_other,movie_other,train
3210,3210,show movies made in country,movie.country,movie.country,train
1823,1823,yash chopra's movies,movie.directed_by,movie.directed_by,train
2337,2337,can you tell me the name of the actor who played todd in the tv show one life to live,movie.starring.actor movie.starring.character,movie.starring.actor,train
1044,1044,bette midler movies please,movie.starring.actor,movie.starring.actor,train
2930,2930,herbs and health,other,other,train
2358,2358,i believe it cost a bundle to make hotel transylvania,movie.estimated_budget,movie.estimated_budget,train
3334,3334,how many of the star wars movies won awards,movie.award,movie.award,train
1814,1814,tom cruise movies,movie.starring.actor,movie.starring.actor,train
613,613,what is the name of the person who made et,movie.directed_by,movie.directed_by,train
300,300,where was trainspotting made,movie.country,movie.country,train
2751,2751,how much did end of watch make in the box office,movie.gross_revenue,movie.gross_revenue,train
3143,3143,who are the actors,movie.starring.actor,movie.starring.actor,train
3276,3276,parental review for movie,movie.rating movie.review,movie.rating,train
966,966,what are movies whose topic involves time travel,movie.subjects,movie.subjects,train
891,891,italian movies,movie.country movie.language,movie.country,train
2931,2931,house at the street,other,other,train
904,904,movies from spain,movie.country,movie.country,train
1694,1694,get me information about the movie star wars four,NO_REL,NO_REL,train
1910,1910,show recent movies rated pg,movie.rating movie.initial_release_date,movie.rating,train
2838,2838,show all russian movies made in the last five years,movie.country movie.language movie.initial_release_date,movie.country,train
2771,2771,how much did hotel transylvania make in the box office,movie.gross_revenue,movie.gross_revenue,train
1142,1142,i want to see movies directed by michael bay,movie.directed_by,movie.directed_by,train
376,376,what year was ed harris in in apollo thirteen,movie.starring.actor movie.initial_release_date,movie.starring.actor,train
2941,2941,unique cars,other,other,train
1964,1964,find all new releases that are rated g,movie.rating movie.initial_release_date,movie.rating,train
873,873,show me a list of any movies made in canada,movie.country,movie.country,train
2609,2609,classic car movies,movie.subjects,movie.subjects,train
3317,3317,where is hotel transylvania shown,movie.showing,movie.showing,train
19,19,cast and crew of life is beautiful,movie.starring.actor,movie.starring.actor,train
3312,3312,what is the synopsis for the movie vulgaria,movie.synopsis,movie.synopsis,train
3111,3111,send dredd movie,other,other,train
2034,2034,who is will ferrell,NO_REL,NO_REL,train
1108,1108,find sandra bullock movies,movie.starring.actor,movie.starring.actor,train
2559,2559,i want movies in france,movie.locations,movie.locations,train
2523,2523,can you find me only movies that grossed three million or more,movie.gross_revenue gr.amount,movie.gross_revenue,train
849,849,show me comedies,movie.genre,movie.genre,train
3105,3105,show me pictures of beautiful men,other,other,train
69,69,who starred in finding nemo,movie.starring.actor,movie.starring.actor,train
1638,1638,get list of zombie movies,movie.subjects,movie.subjects,train
2679,2679,is this movie in french,movie.language,movie.language,train
2701,2701,is the nineteen seventieseven starwars movie rated pg,movie.rating movie.initial_release_date,movie.rating,train
1574,1574,i want to look for movies with an r rating,movie.rating,movie.rating,train
1551,1551,brad pitt movies,movie.starring.actor,movie.starring.actor,train
3083,3083,find all selected info,other,other,train
709,709,what is the language of the movie aankhen,movie.language,movie.language,train
3107,3107,show me pictures of famous blondes,other,other,train
1962,1962,was life is beautiful made in italy,movie.country,movie.country,train
1310,1310,movies from france,movie.country,movie.country,train
2100,2100,who produced hitch,movie.produced_by,movie.produced_by,train
679,679,language of anna karinia,movie.language,movie.language,train
521,521,gilda director,movie.directed_by,movie.directed_by,train
315,315,is this a foreign film,movie.country,movie.country,train
2809,2809,look for revenue from step up,movie.gross_revenue,movie.gross_revenue,train
2737,2737,what ages is wall-e good for,movie.rating,movie.rating,train
1433,1433,show me some films produced by jon landau,movie.produced_by,movie.produced_by,train
1612,1612,can you show me a list of movies in spanish,movie.language,movie.language,train
117,117,who was in the movie hitch,movie.starring.actor,movie.starring.actor,train
716,716,what are the titles of all the movies that george lucas produced,movie.produced_by,movie.produced_by,train
2116,2116,who produced cars,movie.produced_by,movie.produced_by,train
490,490,who directed the movie men in black 3,movie.directed_by,movie.directed_by,train
34,34,who starred in captain america,movie.starring.actor,movie.starring.actor,train
2137,2137,who produced avatar,movie.produced_by,movie.produced_by,train
2182,2182,who produced the movie twilight,movie.produced_by,movie.produced_by,train
650,650,can you tell me what genre the movie avatar falls in,movie.genre,movie.genre,train
2321,2321,how many minutes is finding nemo,rt.runtime movie.runtime,rt.runtime,train
3062,3062,what is,other,other,train
3182,3182,what top movies are from the uk,movie.country movie.star_rating,movie.country,train
393,393,release date for finding nemo,movie.initial_release_date,movie.initial_release_date,train
1364,1364,what did tom hanks produces,movie.produced_by,movie.produced_by,train
1509,1509,please show me movies starring denzel washington,movie.starring.actor,movie.starring.actor,train
560,560,who directed jurassic park,movie.directed_by,movie.directed_by,train
2045,2045,show biography for director steven spielberg,NO_REL,NO_REL,train
3092,3092,search popularity,other,other,train
992,992,find hindi movies,movie.language,movie.language,train
394,394,when was finding nemo released,movie.initial_release_date,movie.initial_release_date,train
590,590,i want to look for the director of freedom writers,movie.directed_by,movie.directed_by,train
982,982,show me movies made in england,movie.country,movie.country,train
397,397,in which month varsham movie released,movie.initial_release_date,movie.initial_release_date,train
2307,2307,revenue for titanic,movie.gross_revenue,movie.gross_revenue,train
559,559,who directed jurassic park,movie.directed_by,movie.directed_by,train
388,388,when did theaters show resident evil,movie.initial_release_date,movie.initial_release_date,train
1149,1149,what movies has jerry bruckheimer produced,movie.produced_by,movie.produced_by,train
949,949,information about movie,NO_REL,NO_REL,train
733,733,show me westerns,movie.genre,movie.genre,train
431,431,release date of snow white and the huntsman,movie.initial_release_date,movie.initial_release_date,train
2038,2038,will ferrell's biography,NO_REL,NO_REL,train
924,924,spanish movie listing,movie.country movie.language,movie.country,train
2915,2915,show me the behind scenes look of how the movie was made,movie_other,movie_other,train
310,310,movie made where,movie.country,movie.country,train
20,20,show cast and crew for the movie life is beautiful,movie.starring.actor,movie.starring.actor,train
1820,1820,give me a list of movies that george lucas produced,movie.produced_by,movie.produced_by,train
1130,1130,movies about chess,movie.subjects,movie.subjects,train
999,999,i want to watch a romance made in india,movie.country movie.genre,movie.country,train
1429,1429,look for john cusack movies,movie.starring.actor,movie.starring.actor,train
3238,3238,movies gross revenue of seven point two million dollars,movie.gross_revenue gr.amount,movie.gross_revenue,train
535,535,find the director for finding nemo,movie.directed_by,movie.directed_by,train
2128,2128,i need to know the movie avatar's producer name,movie.produced_by,movie.produced_by,train
1727,1727,show me detailed information about the movie in july,NO_REL,NO_REL,train
244,244,what character did tom hanks play in apollo thirteen,movie.starring.actor movie.starring.character,movie.starring.actor,train
372,372,release date for batman,movie.initial_release_date,movie.initial_release_date,train
2616,2616,show me all movies from 2000 about dogs,movie.subjects movie.initial_release_date,movie.subjects,train
3112,3112,what does pg thirteen stand for,movie_other,movie_other,train
790,790,finding nemo movie page,NO_REL,NO_REL,train
1300,1300,show movies concerning war,movie.subjects,movie.subjects,train
1593,1593,list all rated r movies,movie.rating,movie.rating,train
621,621,what genre is the movie looper,movie.genre,movie.genre,train
737,737,i want to know more about the movie life is beautiful,NO_REL,NO_REL,train
835,835,show me a list of all movies made in the united states,movie.country,movie.country,train
1464,1464,the campaign,NO_REL,NO_REL,train
832,832,show me movies in english,movie.language,movie.language,train
541,541,who directed finding nemo,movie.directed_by,movie.directed_by,train
1625,1625,list some sci fi movies,movie.genre,movie.genre,train
1777,1777,are there any movies with ice skating,movie.subjects,movie.subjects,train
632,632,how is the movie classified,movie.genre,movie.genre,train
85,85,who are the lead actors in life is beautiful,movie.starring.actor,movie.starring.actor,train
1615,1615,give me movies in spanish,movie.language,movie.language,train
833,833,i would like to see movies in english,movie.language,movie.language,train
773,773,i am looking for the information on the movie pretty women,NO_REL,NO_REL,train
2055,2055,show me spielberg's info,NO_REL,NO_REL,train
2326,2326,how many minutes is life is beautfiul,rt.runtime movie.runtime,rt.runtime,train
1839,1839,find movies about love,movie.subjects,movie.subjects,train
776,776,i want to see a movie which was directed by scorsese,movie.directed_by,movie.directed_by,train
916,916,i want only spanish movies,movie.country movie.language,movie.country,train
2690,2690,download mission impossible in spanish,movie.language,movie.language,train
3080,3080,where is japan,other,other,train
2882,2882,is kristen stewart really dating robert pattinson,movie_other,movie_other,train
872,872,get movies from canada,movie.country,movie.country,train
2429,2429,who directed return of the jedi,movie.directed_by,movie.directed_by,train
1749,1749,can you show movies produced by clint eastwood,movie.produced_by,movie.produced_by,train
1319,1319,what movies were filmed in france,movie.country,movie.country,train
936,936,look for movies in french,movie.language,movie.language,train
287,287,can you tell me which country does thoda pyaar thoda magic belongs to,movie.country,movie.country,train
2393,2393,where was les mes made,movie.country,movie.country,train
1318,1318,find movies from france,movie.country,movie.country,train
1681,1681,i want to look for movies produced by morgan freeman,movie.produced_by,movie.produced_by,train
1594,1594,r rated movies,movie.rating,movie.rating,train
2384,2384,budget for the help,movie.estimated_budget,movie.estimated_budget,train
38,38,which female actors starred in hitch,movie.starring.actor actor.gender,movie.starring.actor,train
124,124,actors in house at the end of the street,movie.starring.actor,movie.starring.actor,train
1269,1269,find movies directed by steven spielberg,movie.directed_by,movie.directed_by,train
1372,1372,show me movies in greek,movie.language,movie.language,train
1095,1095,show me japanese movies,movie.country movie.language,movie.country,train
1221,1221,show me a list of movies produced by mgm,movie.production_companies,movie.production_companies,train
1397,1397,is this movie a romance,movie.genre,movie.genre,train
2317,2317,how much money did finding nemo make,movie.gross_revenue,movie.gross_revenue,train
1700,1700,get me info on star wars episode four,NO_REL,NO_REL,train
3184,3184,what is alfred hitchcock's most famous movie,movie.directed_by movie.star_rating,movie.directed_by,train
914,914,I'd like a list of spanish movies,movie.country movie.language,movie.country,train
510,510,who directed avatar,movie.directed_by,movie.directed_by,train
355,355,when will the great gatsby be released,movie.initial_release_date,movie.initial_release_date,train
567,567,who directed the perfect storm,movie.directed_by,movie.directed_by,train
1505,1505,find all rated pg-13 movies with eddie murphy,movie.rating movie.starring.actor,movie.rating,train
3206,3206,show me this years top rated italian movies,movie.country movie.star_rating movie.initial_release_date,movie.country,train
1770,1770,i want to look up information about the movie hotel transylvania,NO_REL,NO_REL,train
2950,2950,albery death yr,other,other,train
780,780,i want to watch movies directed by jackie chan,movie.directed_by,movie.directed_by,train
1684,1684,search for movies produced by morgan freeman,movie.produced_by,movie.produced_by,train
2583,2583,find detective movies rated r,movie.rating movie.subjects,movie.rating,train
245,245,lion king characters,movie.starring.character,movie.starring.character,train
3190,3190,tell me some of the best nc-17 movies,movie.rating movie.star_rating,movie.rating,train
3211,3211,find movies made in country,movie.country,movie.country,train
3038,3038,twenty one point two was amazing,other,other,train
269,269,how many movies has angelina jolie been in,movie.starring.actor,movie.starring.actor,train
430,430,when was lawless released,movie.initial_release_date,movie.initial_release_date,train
1405,1405,find me a list of movies directed by james cameron,movie.directed_by,movie.directed_by,train
419,419,what date was avatar released,movie.initial_release_date,movie.initial_release_date,train
3173,3173,get the video of finding nemo twenty oh three,movie.media movie.initial_release_date,movie.media,train
2229,2229,what is the parental rating on this movie,movie.rating,movie.rating,train
1882,1882,i'm looking for a jason cortlund movie,movie.directed_by,movie.directed_by,train
2472,2472,classics,movie.genre,movie.genre,train
1472,1472,show me all movies kristen stewart has been in,movie.starring.actor,movie.starring.actor,train
3136,3136,who played the little girl in my girl,movie.starring.actor movie.starring.character,movie.starring.actor,train
711,711,what are the names of films produced by steven spielberg,movie.produced_by,movie.produced_by,train
2980,2980,how do movies receive r ratings,movie_other,movie_other,train
115,115,who stars in hitch,movie.starring.actor,movie.starring.actor,train
705,705,what language is ju on on,movie.language,movie.language,train
2144,2144,goto lionsgate,NO_REL,NO_REL,train
3318,3318,where can i see house at the end of the street,movie.showing,movie.showing,train
23,23,who played in life is beautiful,movie.starring.actor,movie.starring.actor,train
468,468,who directed gone with the wind,movie.directed_by,movie.directed_by,train
2822,2822,find revenue generated by the help,movie.gross_revenue,movie.gross_revenue,train
2200,2200,the producers for the movie ants,movie.produced_by,movie.produced_by,train
954,954,i want movies about 9-11,movie.subjects,movie.subjects,train
2082,2082,alfred hitchcock,NO_REL,NO_REL,train
1402,1402,was what tom cruise's first movie,movie.starring.actor movie.initial_release_date,movie.starring.actor,train
2667,2667,show me belle the movie is it in spanish,movie.language,movie.language,train
158,158,what were the names of the ladies in facts of life,movie.starring.actor actor.gender,movie.starring.actor,train
47,47,who stared in i love lucy,movie.starring.actor,movie.starring.actor,train
1840,1840,movies about nature,movie.subjects,movie.subjects,train
767,767,search for russian movies,movie.country movie.language,movie.country,train
183,183,budget for titanic movie,movie.estimated_budget,movie.estimated_budget,train
1461,1461,about the campaign,NO_REL,NO_REL,train
2630,2630,i would like to know names of some movies related with gardening,movie.subjects,movie.subjects,train
2339,2339,i need to know the name of the tv actor who played todd on show one life to live,movie.starring.actor movie.starring.character,movie.starring.actor,train
84,84,actors for life is beautiful,movie.starring.actor,movie.starring.actor,train
2992,2992,if the movie was canceled how mad do you think the public would be,movie_other,movie_other,train
141,141,show cast of movie request,movie.starring.actor,movie.starring.actor,train
2610,2610,show classic car movies,movie.subjects,movie.subjects,train
2203,2203,producer for gone with the wind,movie.produced_by,movie.produced_by,train
671,671,which language is used in the movie,movie.language,movie.language,train
3284,3284,review for movie,movie.review,movie.review,train
463,463,show me movies listed by directors,movie.directed_by,movie.directed_by,train
2919,2919,how did robert wise get hired to direct the sound of music,movie_other,movie_other,train
765,765,find russian movies,movie.country movie.language,movie.country,train
288,288,give me the name of the country for the movie thoda pyaar thoda magic,movie.country,movie.country,train
385,385,what is resident evil's release date,movie.initial_release_date,movie.initial_release_date,train
2368,2368,how much was the budget for paranorman,movie.estimated_budget,movie.estimated_budget,train
3328,3328,show me the trailer for the campaign movie,movie.trailer,movie.trailer,train
2392,2392,where did they do les mes,movie.country,movie.country,train
2022,2022,i want information about will ferrell,NO_REL,NO_REL,train
1081,1081,show me movies from japan,movie.country,movie.country,train
962,962,show me movies with time travel themes,movie.subjects,movie.subjects,train
2785,2785,how much did looper gross,movie.gross_revenue,movie.gross_revenue,train
48,48,apollo thirteen cast members,movie.starring.actor,movie.starring.actor,train
3209,3209,what are the best british action movies,movie.country movie.genre movie.star_rating,movie.country,train
1669,1669,looking for an action movie,movie.genre,movie.genre,train
1856,1856,find me pg movies,movie.rating,movie.rating,train
3174,3174,watch finding nemo,movie.media,movie.media,train
877,877,show me canadian movies,movie.country,movie.country,train
2464,2464,show me names of some movies about gardening,movie.subjects,movie.subjects,train
2545,2545,give me a list of twenty twelve rated r movies,movie.rating movie.initial_release_date,movie.rating,train
